!File to hold edges and flaws 
! E - Edge  F-Flaw "->"-User Input  See Cyberware.dat for explanation of MODS
!2345678901234567890123456789012345678901234567890
! Added notes by K. Oz (06-10-2001) SOTA2064 added by Thistledown THANKS from McMackie
0-1|Edges-Flaws|5|Book.Page|$Cost|EorF|Mods|Notes
1-ATTRIBUTES
2-* Bonus Attribute Point(BOD)     1|src.17|2|E|+1ZOD|+1 to a physical attribute. Only once per character.
2-* Bonus Attribute Point(QCK)     1|src.17|2|E|+1ZCK|+1 to a physical attribute. Only once per character.
2-* Bonus Attribute Point(STR)     1|src.17|2|E|+1ZTR|+1 to a physical attribute. Only once per character.
2-* Bonus Attribute Point(CHR)     1|src.17|2|E|+1ZHR|+1 to a mental attribute. Only once per character.
2-* Bonus Attribute Point(INT)     1|src.17|2|E|+1ZNT|+1 to a mental attribute. Only once per character.
2-* Bonus Attribute Point(WIL)     1|src.17|2|E|+1ZIL|+1 to a mental attribute. Only once per character.
2-* Exceptional Attribute(BOD)     1|src.17|2|E|+1XOD|+1 to racial maximum of Body Attribute. Only once per character.
2-* Exceptional Attribute(QCK)     1|src.17|2|E|+1XCK|+1 to racial maximum of Quickness Attribute. Only once per character.
2-* Exceptional Attribute(STR)     1|src.17|2|E|+1XTR|+1 to racial maximum of Strength Attribute. Only once per character.
2-* Exceptional Attribute(CHR)     1|src.17|2|E|+1XHR|+1 to racial maximum of Charisma Attribute. Only once per character.
2-* Exceptional Attribute(INT)     1|src.17|2|E|+1XNT|+1 to racial maximum of Intelligence Attribute. Only once per character.
2-* Exceptional Attribute(WIL)     1|src.17|2|E|+1XIL|+1 to racial maximum of Willpower Attribute. Only once per character.
2-* ExceedRaceMax (BOD)(BKS)       1|src.17|1|E|+1EOD|+1 to exceed racial maximum of Body Attribute. Only once per character.
2-* ExceedRaceMax (QCK)(BKS)       1|src.17|1|E|+1ECK|+1 to exceed racial maximum of Quickness Attribute. Only once per character.
2-* ExceedRaceMax (STR)(BKS)       1|src.17|1|E|+1ETR|+1 to exceed racial maximum of Strength Attribute. Only once per character.
2-* ExceedRaceMax (CHR)(BKS)       1|src.17|1|E|+1EHR|+1 to exceed racial maximum of Charisma Attribute. Only once per character.
2-* ExceedRaceMax (INT)(BKS)       1|src.17|1|E|+1ENT|+1 to exceed racial maximum of Intelligence Attribute. Only once per character.
2-* ExceedRaceMax (WIL)(BKS)       1|src.17|1|E|+1EIL|+1 to exceed racial maximum of Willpower Attribute. Only once per character.
1-SKILLS
2-* Aptitude->                     1|src.18|4|E||TN -1 for all tests with chosen skill.
2-* Home Ground->                  1|src.18|2|E||TN -1 modifier for all active skill tests in chosen Home Ground, TN -2 for all knowledge skills tests.
1-PHYSICAL
2-* Adrenaline Surge               1|src.18|2|E||Rule of Six for Initiative. Only for characters without reflex enhancements. All TN +1 during combat.
2-* Ambidexterity-2                1|cc.96|2|E||When firing two weapons, TN +2 for the first, TN +1 for the second weapon.
2-* Ambidexterity-4                1|cc.96|4|E||When firing two weapons, TN +1 for the first, TN +1 for the second weapon.
2-* Ambidexterity-6                1|cc.96|6|E||When firing two weapons, TN +1 for the first, TN +0 for the second weapon.
2-* Ambidexterity-8                1|cc.96|8|E||When firing two weapons, TN +0 for the first, TN +0 for the second weapon.
2-* Double Jointed                 1|src.20|1|E||TN -1 for acrobatic and Athletics(Escape Artist) tests.
2-* High Pain Tol. 1 Box           1|src.20|2|E||Ignore effects of 1 Box mental or physical damage.
2-* High Pain Tol. 2 Boxes         1|src.20|4|E||Ignore effects of 2 Boxes mental or physical damage.
2-* High Pain Tol. 3 Boxes         1|src.20|6|E||Ignore effects of 3 Boxes mental or physical damage.
2-* High Pain Tol. 4 Boxes         1|src.20|8|E||Ignore effects of 4 Boxes mental or physical damage.
2-* High Pain Tol. 5 Boxes         1|src.20|10|E||Ignore effects of 5 Boxes mental or physical damage.
2-* Lightning Reflexes Lev 1       1|src.20|2|E||+1 Reaction for surprise tests. Not compatible with adept power Combat Sense.
2-* Lightning Reflexes Lev 2       1|src.20|4|E||+2 Reaction for surprise tests. Not compatible with adept power Combat Sense.
2-* Lightning Reflexes Lev 3       1|src.20|6|E||+3 Reaction for surprise tests. Not compatible with adept power Combat Sense.
2-* Longevity                      1|tss.7|3|E||Increase natural lifespan by 50%
2-* Natural Immunity Lev 1         1|src.20|1|E||Immunity against one natural toxin.
2-* Natural Immunity Lev 2         1|src.20|3|E||Immunity against one synthetical toxin.
2-* Night Vision                   1|src.20|2|E||Natural low-light vision.
2-* Night Vision (Riggers/Deckers) 1|src.20|1|E||Natural low-light vision.
2-* Quick Healer                   1|src.21|2|E||TN -2 for healing tests.
2-* Resistance to Pathogens        1|src.21|1|E||+1 Body against pathogens.
2-* Resistance to Toxins           1|src.21|1|E||+1 Body against toxins.
2-* Toughness                      1|src.21|3|E||+1 Body for damage resistance tests.
2-* Voice                          1|tss.7|2|E||Character has an exceptional voice. -1 TN to all skills involving singing, public speaking, seduction, etc
2-* Water Sprite (+1 Ab Imp)       1|src.21|1|E||Hold breath +20 sec or bonus +0.1 for swimming distance or bonus +1 for fatigue or +1 minute between swimming tests or TN -1 for damage resistance or TN -1 for water treading or +1 Body for floating time
2-* Water Sprite (+2 Ab Imp)       1|src.21|2|E||Hold breath +40 sec or bonus +0.2 for swimming distance or bonus +2 for fatigue or +2 minutes between swimming tests or TN -2 for damage resistance or TN -2 for water treading or +2 Body for floating time
2-* Water Sprite (+3 Ab Imp)       1|src.21|3|E||Hold breath +60 sec or bonus +0.3 for swimming distance or bonus +3 for fatigue or +3 minutes between swimming tests or TN -3 for damage resistance or TN -3 for water treading or +3 Body for floating time
2-* Water Sprite (+4 Ab Imp)       1|src.21|4|E||Hold breath +80 sec or bonus +0.4 for swimming distance or bonus +4 for fatigue or +4 minutes between swimming tests or TN -4 for damage resistance or TN -4 for water treading or +4 Body for floating time
2-* Water Sprite (+5 Ab Imp)       1|src.21|5|E||Hold breath +100 sec or bonus +0.5 for swimming distance or bonus +5 for fatigue or +5 minutes between swimming tests or TN -5 for damage resistance or TN -5 for water treading or +5 Body for floating time
2-* Will To Live Lev 1             1|src.22|1|E||+1 Box Overflow Damage.
2-* Will To Live Lev 2             1|src.22|2|E||+2 Boxes Overflow Damage.
2-* Will To Live Lev 3             1|src.22|3|E||+3 Boxes Overflow Damage.
1-MENTAL
2-* Attentive                      1|tss.6|1|E||Character never makes silly mistakes and rarely overlooks something small. No combat benefits
2-* Bravery                        1|src.22|1|E||TN -1 for tests against intimidation and similar spells and critter powers.
2-* College Education              1|src.22|1|E||TN for academical knowledge skills +1 for defaulting to skill, +2 for defaulting to specialization, +3 for defaulting to attribute.
2-* Common Sense                   1|src.22|2|E||GM: "You might reconsider your plan." (If the player plans something dumb his character would not do.)
2-* Evil Eye                       1|tss.18|2|E||This edge makes people think that the character is a bad, bad man.
2-* Perceptive                     1|src.23|3|E||TN -1 for perception tests. No effect on detection spells, perception through sensors, sight modifiers during combat.
2-* Perfect Time                   1|src.23|1|E||Character always knows exact time.
2-* Photographic Memory            1|src.24|3|E||Character never forgets anything he has heard, seen or experienced.
2-* Sense of Direction             1|src.24|1|E||Character always knows where north lies, can retrace steps and never gets lost.
2-* Spike Resistance 1(Rig/Deck)   1|src.25|2|E||+1 Willpower for damage resistance tests against Black Ice, Dumpshock etc.
2-* Spike Resistance 2(Rig/Deck)   1|src.25|4|E||+2 Willpower for damage resistance tests against Black Ice, Dumpshock etc.
2-* Strong Will                    1|tss.7|1|E||Character rolls and extra die when resisting attempts to control their free will, including resisting interrogation, torture, etc.
2-* Technical School Education     1|src.25|1|E||TN for background knowledge skills +1 for defaulting to skill, +2 for defaulting to specialization, +3 for defaulting to attribute.
1-SOCIAL
2-* Animal Empathy                 1|src.25|2|E||TN -1 for tests involving the interaction with animals. Character is reluctant to harm animals.
2-* Blandness                      1|src.25|2|E||TN +1 for tracking the character. No effect on matrix or magical searches.
2-* Connected Lev 1->              1|src.26|3|E||Character has a contact that buys or sells certain contraband with or without street index, to the character's advantage.
2-* Connected Lev 2->              1|src.26|5|E||Character has a contact that buys and sells certain contraband with or without street index, to the character's advantage.
2-* Diplomatic Immunity            1|sta2.32|2|E||Character can not be arrested, charged with, or convicted of a felony or misdemeanor while abroad.
2-* Extra Contact                  1|src.26|1|E|+1ECT|One additional level 1 contact.
2-* Friendly Face                  1|src.26|1|E||TN -1 for all social interactions involving the infiltration of unknown groups, meeting contacts in an alien town etc.
2-* Friends Abroad                 1|src.27|3|E||One additional contact abroad or in another town.
2-* Friends in High Places         1|src.27|2|E|+1FRI|One additional level 2 contact in a powerful position.
2-* Good Looking and Knows It      1|src.27|1|E||TN -2 for social interactions with the opposite gender, -1 with the own gender.
2-* Human Looking                  1|src.27|1|E||Exactly that. Only for elves, dwarves and orks.
2-* Good Reputation Lev 1          1|src.27|1|E||TN -1 for social skill tests.
2-* Good Reputation Lev 2          1|src.27|2|E||TN -2 for social skill tests.
1-MAGICAL
2-* Astral Chameleon               1|src.28|2|E||TN +2 for tests involving the ascanning of the character's astral signature.
2-* Focused Concentration          1|src.28|2|E||TN +1 for each sustained spell.
2-* Magical Resistance Lev 1       1|src.28|1|E||+1 Die for spell resistance tests. Only for mundane characters. Also against "friendly" spells like Heal etc.
2-* Magical Resistance Lev 2       1|src.28|2|E||+2 Dice for spell resistance tests. Only for mundane characters. Also against "friendly" spells like Heal etc.
2-* Magical Resistance Lev 3       1|src.28|3|E||+3 Dice for spell resistance tests. Only for mundane characters. Also against "friendly" spells like Heal etc.
2-* Magical Resistance Lev 4       1|src.28|4|E||+4 Dice for spell resistance tests. Only for mundane characters. Also against "friendly" spells like Heal etc.
