!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
4-* Ares Monosword(EDG)            1|3|1|(STR+3)M|2|4/24hrs|1000|1|cc.8|||
4-* Bayonet(EDG)                   1|8|0|(STR)L|.25|2/8hrs|35|.8|cb1.2|||
4-* Bear-Knife(EDG)                1|3|0|(STR+2)M|1|6/48hrs|2000|1|sr2.???|||
4-* Black Whistle Butterfly Knife  1|3/4|0|(STR+2)L|.75|7/65ays|350|1.5|tss.2|||
4-* Bowie Knife(EDG)               1|6|0|(STR+2)L|1|3/24hrs|50|.8|sr2.???|||
4-* Broadsword(EDG)                1|4|1|(STR+1)M|2|6/48hrs|1000|3|sr2.???|||
4-* Cane Knife(EDG)                1|2|1|(STR+1)M|1|10/7days|600|2|sr2.???|||
4-* Cane Sword(EDG)                1|2|1|(STR+1)M|1|10/7days|600|2|sr2.???|||
4-* Centurion Laser Axe(EDG)       1|2|1|(STR)S|5.2|6/48hrs|3500|.5|sr2.???|||
4-* Combat Axe(EDG)                1|2|2|(STR)S|2|3/24hrs|750|2|sr3.275|legal|notes here|
4-* Combat Axe Thrusting Point     1|-|-|(STR+2)L|0|0|0|1|sr3.275|||
4-* CougarFineBladeKnife-Shrt(EDG) 1|8|-|(STR)M|.5|5/72hrs|800|3|cc.8|||
4-* CougarFineBladeKnife-Long(EDG) 1|5|-|(STR+1)M|.75|8/72hrs|1500|3|cc.8|||
4-* Decapitator battleaxe(EDG)     1|-|2|(STR+4)S|11|6/48hrs|2000|3|sr2.???|||
4-* Forearm Snap Blades(EDG)       1|7|-|(STR)M|1.5|4/48hrs|850|2|sr3.275|||
4-* Gasher battleaxe(EDG)          1|2|1|(STR)S|2|6/48hrs|1000|3|sr2.???|||
4-* Gutter dagger(EDG)             1|8|0|(STR)M|.5|6/48hrs|1000|1|sr2.???|||
4-* IMI Chainknife(EDG)            1|6|0|(STR+5)L|.75|6/48hrs|120|1.2|cb1.3|||
4-* Katana(EDG)                    1|3|1|(STR+3)M|1|4/48hrs|1000|2|sr3.275|||
4-* Katar(EDG)                     1|7|-|(STR+3)L|.75|5/72hrs|800|2|cc.8|||
4-* Kris(EDG)                      1|7|-|(STR)M|.75|8/72hrs|1000|3|cc.8|||
4-* Kendachi M-33 Powersword(EDG)  1|4|1|(STR+1)S|3|8/14days|1860|3|cb1.36|||
4-* Kendachi Monokatana(EDG)       1|3|1|(STR+4)M|1|8/5days|1200|2.5|cb1.3|||
4-* Kendachi Monoknife(EDG)        1|7|-|(STR+1)L|.5|6/60hrs|200|1|cb1.3|||
4-* Kendachi Mononaginata(EDG)     1|2|1|(STR+2)L|.5|6/60hrs|300|1|sr2.???|||
4-* Kendachi Monosword Cane(EDG)   1|2/10|-|(STR+1)M|.75|8/72hrs|1020|1|cb1.3|||
4-* Kendachi Mono-Two Long(EDG)    1|3|1|(STR+3)M|1|5/48hrs|1650|2.1|cb1.36|||
4-* Kendachi Mono-Two Short(EDG)   1|5|0|(STR+1)M|.75|5/48hrs|1650|2.1|cb1.36|||
4-* Knife(EDG)                     1|8|-|(STR)L|.5|2/4hrs|30|.75|sr3.275|||
4-* Laser Cresent Axe(EDG)         1|2|1|(STR)S|5.2|6/48hrs|3500|.5|cc.8|||
4-* Longsword(EDG)                 1|4|1|(STR+2)M|2|6/48hrs|1000|1|sr2.???|||
4-* Macauitl(EDG)                  1|3|1|(STR+2)M|1|18/7days|3000|2|cc.8|||
4-* Mystic Tech. Spring Knife(EDG) 1|8|0|(STR+2)L|.75|4/12hrs|125|1.2|cb1.3|||
4-* Mystic Tech. Sword(EDG)        1|4|1|(STR+3)M|-|-|-|-|cb1.3|||
4-* Rapier(EDG)                    1|5|1|(STR+2)M|2|6/48hrs|1000|3|sr2.???|||
4-* Switchblade(EDG)               1|9|-|(STR-1)L|.1|2/6hrs|25|.75|cb1.2|||
4-* Scimitar(EDG)                  1|4|1|(STR+2)M|1.5|6/48hrs|1000|3|sr2.???|||
4-* Shortsword(EDG)                1|5|1|(STR)M|2|6/48hrs|1000|3|sr2.???|||
4-* Slamdance Inc. Spawnblade(EDG) 1|8|0|(STR)L|.5|4/72hrs|100|1.1|sr2.???|||
4-* Stiletto(EDG)                  1|10|0|(STR)L|.3|6/48hrs|1000|1|sr2.???|||
4-* Stiletto(EDG)                  1|14|0|(STR-1)L|.1|2/24hrs|10|.5|sr2.???|||
4-* Survival Knife(EDG)            1|6|-|(STR+2)L|.75|3/6hrs|450|1|sr3.275|||
4-* Sword(EDG)                     1|4|1|(STR+2)M|1|3/24hrs|500|1|sr3.275|||
