!SPELLS.DAT - Spells data file - JW 960305 (Updated from PM 950220 - additions by Joseph Pettit)
! UPDATED TO SR3. SR2 SPELLS AND EARLIER REMOVED. A LOT OF SPELLS HAVE BEEN ROLLED INTO ONE
!
! Josef Wegner: added Target: Wastelands entries 01/03/03
!-----------------------------------------------------------------------------------------------
0-1|Spells|8|Book.Page|Type|Target|Duration|Range|Drain|Class|Notes
!Book-Pag Name                         TYPE TAR    DUR  RANGE  Drain       Class
!-------- ---------------------------- ---- ---    ---  -----  ---------------
!2345678901234567890123456789012345678901234567890123456789012
1-Combat Spells
2-* Cold Ball                      1|tss.4|P|B(R)|I|LOS|+2(S)|C|
2-* Death Touch                    1|sr3.191|M|W(R)|I|T|(DL-1)|C|
2-* Dispel Insect Spirit           1|tss.9|P|B(R)|S|LOS|(D)|C|should have been named REPEL??
2-* Freezing Grasp                 1|tss.4|P|B(R)|I|LOS|+1(L)|C|
2-* Manaball                       1|sr3.191|M|W(R)|I|LOS(A)|(DL+1)|C|
2-* Manabolt                       1|sr3.191|M|W(R)|I|LOS|(DL)|C|
2-* Piercing Meow                  1|tss.9|P|W(R)|S|LOS|(S)|C|
2-* Powerball                      1|sr3.191|P|B(R)|I|LOS(A)|+1(DL+1)|C|
2-* Powerbolt                      1|sr3.191|P|B(R)|I|LOS|+1(DL)|C|
2-* Ram->                          1|mits.140|P|OR|I|LOS|+1(DL-2)|C|
2-* Shattershield                  1|mits.140|M|F(R)|I|T|(M)|C|
2-* Slaughter(Race/Species)->      1|mits.140|M|W(R)|I|LOS(A)|+1(D)|C|
2-* Slay(Race/Species)->           1|mits.140|M|W(R)|I|LOS|-1(D)|C|
2-* Spiritblast                    1|mits.140|M|F(R)|I|LOS(A)|-1(DL+1)|C|
2-* Spiritbolt                     1|mits.140|M|F(R)|I|LOS|-1(DL)|C|
2-* Stunball                       1|sr3.191|M|W(R)|I|LOS(A)|-1(DL+1)|C|
2-* Stunbolt                       1|sr3.191|M|W(R)|I|LOS|-1(DL)|C|
2-* Stuntouch                      1|mits.140|M|W(R)|I|T|-1(DL-1)|C|
2-* Wreck->                        1|mits.140|P|OR|I|LOS|+1(DL-1)|C|
1-Detection Spells
2-* Analyze Device                 1|sr3.192|P|OR|S|T/D|+1(M)|D|
2-* Analyze Magic                  1|mits.140|M|F(R)|S|T/D|(L)|D|
