!ADEPT.DAT - Physical Adepts powers data file - Stephen Atkins 960201
! modified by mcmackie for SR3, Kevin Rose for Notes (thanks!), ArchangelGabriel for SOTA2064 (thanks!)
0-1|Adept Powers|4|Book.Page|AdeptCost|Mods|Notes|
! Powers below NOTE: *prompt for level
1-Adept Powers
2-* Adhesion                       1|tss.1|1.00||Works similar to magentism but on all materials.  Instant on/off and can be used with only some parts of the body if desired.
2-* Agravated Damage               1|adh.3|1.00||If all unarmed combat dice succeed, stage damage level by 1
2-* Aimed Shot*                    1|adh.3|0.50||reduce called shot modifer by 1 per level
2-* Aid Spell*                     1|sta2.64|0.50||1 die per level to support magician casting a spell in same Initiative Phase
2-* Animal Empathy*                1|sta2.64|0.25||1 die per level for attempts to threaten, calm or frighten an animal
2-* Astral Perception              1|sr3.168|2.00|| You have the ability to see and reach into the astral plane via astral perception.
2-* Attribute Boost(STR)*          1|sr3.168|0.25|| Make a Magic Test against a target number equal to one half the base (unaugmented)rating of the attribute being boosted (round up) . . . When the boost runs out you must make a Drain Resistance Test.
2-* Attribute Boost(QIC)*          1|sr3.168|0.25|| Make a Magic Test against a target number equal to one half the base (unaugmented) rating of the attribute being boosted (round up) . . . When the boost runs outyou must make a Drain Resistance Test.
2-* Attribute Boost(BOD)*          1|sr3.168|0.25|| Make a Magic Test against a target number equal to one half the base (unaugmented) rating of the attribute being boosted (round up) . . . When the boost runs outyou must make a Drain Resistance Test.
2-* Blend In\Stand Out             1|tss.4|0.75||One power can be used either way.  Use counts as sustaining a spell but is not evident in astral.
2-* Blind Fighting                 1|mits.149|0.50|| Blind fighting reduces the visibility modifier for blind fire or full darkness to +4.
2-* Body Control*                  1|sr3.169|0.25|| Each level of body control provides 1 additional die for Resistance Tests against toxins and diseases.
2-* Combat Sense +1                1|sr3.169|1.00|+1CPL| Combat sense provides an instinctive sense about an area and any potential threats nearby. See table (SR3-169).
2-* Combat Sense +2                1|sr3.169|2.00|+2CPL| Combat sense provides an instinctive sense about an area and any potential threats nearby. See table (SR3-169).
2-* Combat Sense +3                1|sr3.169|3.00|+3CPL| Combat sense provides an instinctive sense about an area and any potential threats nearby. See table (SR3-169).
2-* Commanding Voice               1|sta2.64|0.50||Adept can speak a Command with three or less words. Opposed test between adepts Charisma and opponents Willpower. If the adept wins the opponent is either distracted or obeys the command (GM).
2-* Cool Resolve*                  1|sta2.65|0.50||Protection against intimidation, manipulation, or fooling in social situations. +1 die per level against any of such rolls. No protection against magic or critter powers, but against other adepts powers.
2-* Counterstrike*                 1|mits.149|0.50|| +1 die per level for counterattack tests in melee combat, either armed or unarmed.
2-* Deep Rooting                   1|sta2.65|0.50||Same Effect as level 1 Rooting; Recoil penalties halved. Movement is limited
2-* Delay Damage 1                 1|mits.149|1.00|| The obvious form of this power is handled as a normal attack, it just appears to do no damage at the time.
2-* Delay Damage 2                 1|mits.149|2.00|| An adept with the silent form of this power merely needs to bump into, brush against, or otherwise touch the target unobtrusively.
2-* Distance Strike                1|mits.149|2.00|| Adept can "transmit"an unarmed attack over a short distance (range in meters equal to the adept's magic) and inflicts the adept's standard unarmed damage.
2-* Eidetic Sense Memory           1|sta2.65|0.50||The adept gains photo sight memory in addition to a increased memory involving all other senses.
2-* Elemental Strike               1|sta2.65|0.50||In addition with Killing Hands an adept can create a secondary elemental effect, which is chosen when power is purchased.
