!CYBER.DAT - Cyberware data file - JW 960202 (Update of Stephen Atkins' 960201 file)
!-----------------------------------------------------------------------------------
! Note Body Index (INDEX) is now unused... Value is converted to Legality
! Shadowrun II Original
! References in SR3 deleted from other editions. Updated 990809. Mike Mc
! WARNING: ALL MODS MUST END in ",", Ess cost MUST have digits
! Category E-Eye, R-Ear, A-Arm, L-Leg, T-Torso, H-Head, F-Foot, D-Hand
! Some components are both in CT and SR3, because SR3 is more recent only SR3 book page references
! are noted. Thierry N
! Reference to CB1 (Chromebook) are from downloadble edition at http://shadowrun.html.com/plasticwarriors
! and from the compilation Chromebook 1 to 4, so page numbers indicated are in this order.
! Updated 000305 Thierry N
! Updated 11/27/00 for M&M by Lucas Hoffmann
! Updated 06/03/01 Added Availability and Legality Codes by Benjamin Plaga (K. Oz)
! Updated 06/10/02 Added Rigger gear by Wordman
! Updated 10/13/02 Added comments by Lich325, Thanks
0-1|CyberParts|10|Book.Page|Availability|EssCost|$Cost|Mods|LegalCode|Capacity|Category|Street Index|Notes|
! ============================= BODYWEAR ============================================
1-BODYWARE
2-* Autoinjector                   1|mm.25|4/72 hours|0.10|1000||6P-N|||1.50|Triggered release of substance
2-* Autoinjector-one shot          1|mm.25|4/72 hours|0.05|1500||4P-Q|||1.50|Triggered release of substance
2-* Autoinjector-extra dose        1|mm.25|4/72 hours|0.00|500||AsInj|||1.50|Extra dose of substance, max 5 doses
2-* +Autoinjectr wired to biomo    1|cb3.98|2/6 hours|0.00|200||AsDrug|||0.90|
2-* Balance Tail                   1|mm.25|8/1 week|0.50|10000||Legal|||2.00|-2 balance TNs
2-* BIODYNE "Enable"Cyberlimbs     1|cb3.100|6/7 days|1.00|100000|-1RCT,|Legal|||1.00|
2-Biomonitor & components
3-* Biomonitor Processor           1|mm.25|6/72 hours|0.20|2500||Legal|||2.00|Biotech skill of 5, triggers/alerts
3-* +Subdermal Display             1|mm.25|4/48 hours|0.10|500||Legal|||1.00|Displays body info
3-* Biomonitor                     1|mm.25|6/72 hours|0.30|5000||Legal|||2.00|Monitors body, gives info to linked devices
3-* Biomonitor II                  1|pw.18|4/36 hours|0.50|40000||Legal|||1.00|
2-Biopower Implants
3-* Biopower Implants [1]          1|tss.5|6/2 days|1.00|25000||Legal|||1.50|Charges at Body/10 per Hr, max = Body/2
3-* Biopower Implants [2]          1|tss.5|8/4 days|2.00|60000||Legal|||1.75|Charges at Body/7 per Hr, max = Body
3-* Biopower Implants [3]          1|tss.5|12/16 days|3.00|125000||6P-CA|||2.00|Charges at Body/5 per Hr, max = Body*1.5
2-Body Compartment & contents
3-* Body Compartment               1|mm.23|4/48 hours|0.20|5000||Legal|||1.00|Hollow area of body to hold small items
3-* +Injector                      1|mm.23|4/72 hours|0.00|500||6P-N|||1.50|One dose of a compound
3-* +Lockpicks                     1|mm.23|8/2 weeks|0.00|500||6P-Q|||3.00|For key and tumbler locks
3-* +Lockpick Gun /rating          1|mm.23|8/2 weeks|0.00|250||6P-Q|||3.00|For key and tumbler locks
3-* +Synth. Fingerprint [1]        1|mm.23|2/1 week|0.00|2000||4P-Q|||3.00|
3-* +Synth. Fingerprint [2]        1|mm.23|4/1 week|0.00|4000||4P-Q|||3.00|
3-* +Synth. Fingerprint [3]        1|mm.23|6/1 week|0.00|6000||4P-Q|||3.00|
3-* +Synth. Fingerprint [4]        1|mm.23|8/1 week|0.00|8000||4P-Q|||3.00|
3-* +Synth. Fingerprint [5]        1|mm.23|10/1 week|0.00|10000||4P-Q|||3.00|
3-* +Synth. Fingerprint [6]        1|mm.23|12/1 week|0.00|12000||4P-Q|||3.00|
3-* +Print Scanner [1]             1|mm.23|1/72 hours|0.00|500||6P-V|||3.00|
3-* +Print Scanner [2]             1|mm.23|2/72 hours|0.00|1000||6P-V|||3.00|
3-* +Print Scanner [3]             1|mm.23|3/72 hours|0.00|1500||6P-V|||3.00|
3-* +Print Scanner [4]             1|mm.23|4/72 hours|0.00|2000||6P-V|||3.00|
3-* +Print Scanner [5]             1|mm.23|5/72 hours|0.00|2500||6P-V|||3.00|
3-* +Print Scanner [6]             1|mm.23|6/72 hours|0.00|3000||6P-V|||3.00|
2-Body Enhance
3-* Body Enhance [1]               1|ct.31|6/4 days|0.00|75000|+1BOD,|6P-CB|||1.00|
3-* Body Enhance [2]               1|ct.31|6/4 days|0.00|150000|+2BOD,|6P-CB|||1.00|
3-* Body Enhance [3]               1|ct.31|6/4 days|0.00|225000|+3BOD,|6P-CB|||1.00|
3-* Body Enhance [4]               1|ct.31|6/4 days|0.00|300000|+4BOD,|6P-CB|||1.00|
3-* Body Enhance [5]               1|ct.31|6/4 days|0.00|375000|+5BOD,|6P-CB|||1.00|
3-* Body Enhance [6]               1|ct.31|6/4 days|0.00|450000|+6BOD,|6P-CB|||1.00|
2-Body Plating
3-* Body Plating Soft [1]          1|ct.37|12/2 weeks|0.00|10000||6P-CA|||2.00|
3-* Body Plating Soft [2]          1|ct.37|12/2 weeks|0.00|20000||6P-CA|||2.00|
