!vehicle.DAT - Vehicle data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
! Added support for Book-page and ability to exclude those books from listings
! I will eliminate duplicate entries and add SR3 support 990813            - Mike
! Walter Scheper <ratlaw@bigfoot.com>  for Rigger 3 addins...
! Josef Wegner: added Target: Wastelands entries 01/06/03
! Extensive R3 work done by: Karl Kendricks 08/24/03
! Types (Formats):
!-------
0-1|Edged weapon|8|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|8|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Magnification|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|4|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|Vehiclegear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle modifications|9|$Cost|Availability|Street Index|Equipment|Base Time/Skill Test|CF|Load|Notes|Book.Page|
0-24|Cars2|12|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Availability|Street Index|Notes|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|5|$Cost|Availability|Street Index|Weight|Book.Page|
1-Vehicles
2-Bikes
3-Choppers
4-* BMW Blitzen 2025               17|3/4|70/210|3|6|1|2|2/1day|15-20000|1|sr2.???|
4-* BMW Blitzen 2050               24|3/4|220/13|2/2|1/2|-/0|2/40|2m|26300|2/48hrs|1|Turbocharging 3(factored in)|r3.158|
4-* BMW R60 Euro                   17|3/6|35/130|2|3|3|1|2/1day|11000|1|sr2.???|
4-* BMW RG75 III                   17|3/3|35/100|2|0|3|0|2/1day|14000|1|sr2.???|
4-* Darkwing                       17|4/4|40/135|2|1|3|1|2/1day|9000|.75|sr2.???|
4-* Harley-Davidson Brawler        17|5/7|64/192|4|6|1|2|2/1day|26000|1|sr2.???|
4-* Harley-Davidson Electroglide   24|3/4|225/13|2/2|1/1|-/0|2/140|1m|70000|10/10days|2|Electronics Port w/Radio(Rating 3), External Fixed Firmpoint(1 CF Ammo Bin), Turbocharging 3(factored in)|r3.158|
4-* Harley-Davidson Scorpion       24|4/5|120/6|2/1|2/2|-/0|4/60|2m|13500|2/24hrs|1||sr3.308, r3.158|
4-* Harley-Davidson Thundergod     17|4/5|50/150|1|0|3|2|2/1day|15000|1|cb1.20|
4-* Honda Viking                   24|3/5|120/5|2/1|1/2|-/0|4/40|2m|20000|2/24hrs|1|Turbocharging 1(factored in), Engine Customization 3, Adjusted Controls(troll)|r3.158|
4-* Messerschmitt A200             17|2/10|50/220|1|0|2|0|3/1day|29000|1|sr2.???|
4-* Nissan Stallion                17|4|80/200|4|2|2(5)|1|2/1day|25000|1|sr2.???|
3-Off Road Bikes
4-* All-Terrain Bike (bicycle)     17|3|special|1|0|6|-|2/1day|650|.75|cp.34|
4-* Gaz-Niki White Eagle           24|3/3|100/4|2/0|1/0|-/0|2/30|2m|13000|2/24hrs|1|External Fixed Hardpoint|r3.159|
4-* Hyundai Offroader              24|2/4|90/4|2/0|4/1|-/0|1/20|2m|13000|2/24hrs|1||r3.159|
4-* Scion Technologies Dunemaster  17|4/3|45/135|2|1|1|1|4/2days|40000|1|sr2.???|
4-* Scion Technologies Dust Devil  17|5/4|35/105|2|2|1|1|4/2days|46000|1|sr2.???|
4-* Thundercloud Pinto             24|4/2|85/4|2/0|2/0|-/0|8/40|3m|35000|2/48hrs|1||r3.158|
3-Racing Bikes
4-* Honda Nata450                  17|3/5|200/9|2|0|2|0|2/1day|15000|1|tss.6|
4-* Honda Vector (Racing)          17|2/10|300/25|2|0|1|4|2/1day|80000|1|tss.6|
4-* Honda Vector (Gasoline)        17|3/8|210/15|2|0|2|1|2/1day|20000|1|tss.6|
4-* Honda Vector (Police/Rescue)   17|3/6|240/18|2|3|3|4|2/1day|50000|1|tss.6|
4-* Honda Vector (Sports)          17|3/6|240/16|2|6|1|3|2/1day|25000|1|tss.6|
4-* Suzuki 500ET                   17|3/6|90/270|1|2|2|3|2/1day|25000|1|sr2.???|
4-* Suzuki Aurora                  24|2/4|210/11|2/0|2/1|-/0|1/40|1m|18100|2/24hrs|1||r3.159|
4-* Yamaha Rapier                  24|3/6|195/10|2/0|2/1|-/0|1/40|1m|14200|2/24hrs|1||sr3.308, r3.159|
3-Scooters
4-* Dodge Scoot                    24|3/4|60/3|2/0|5/0|-/0|1/10|1m|5900|2/24hrs|.50|Gridlink|sr3.308, r3.160|
4-* Entertainment Systems Papoose  24|3/6|90/3|2/0|5/0|-/0|1/5|1m|6600|2/24hrs|.50||r3.160|
4-* Hyundai Cityroller             17|3/6|75/3|2|0|5|0|2/1day|5000|1|tss.6|
4-* Messerschmitt-Kawasaki 2050    17|4/6|60/4|2|0|5|1|2/1day|9000|1|tss.6|
4-* Mitsubishi Portabike           17|3/9|10/35|1|0|7|0|2/1day|250|.75|sr2.???|
4-* Sport Eurasia "Microbike"      17|4/12|35/105|1|0|5|0|2/1day|1000|.75|sr2.???|
4-* VW City Scooter                17|3/9|25/50|2|0|4|2|2/1day|6500|.75|sr2.???|
3-Others SR2
4-* Ashigaru                       17|3/8|40/95|1|0|6|1|2/1day|3500|.75|sr2.???|
4-* Bermuda                        17|3/5|60/205|2|0|2|1|2/1day|15000|1|sr2.???|
4-* Brennan Cycles "Ares"          17|3/7|40/125|1|1|1|1|2/1day|21000|1|sr2.???|
4-* Brennan "Hermes"               17|3/6|30/95|1|0|2|0|2/1day|12500|1|sr2.???|
4-* Hyundai Offroader              17|4/2|60/180|2|0|2|1|2/1day|12500|1|sr2.???|
4-* Kundalina Roadworks "Dart"     17|4/8(3/6)|55/160|1|1|3|1|2/1day|10000|1|sr2.???|
4-* Kundalina Roadworks Shiva      17|2/6|70/210|1|1|2|2|2/1day|12000|1|cb1.21|
4-* Kundalina "Torpedo"            17|4/6(3/5)|65/190|1|2|3|2|3/1day|36000|1|sr2.???|
4-* MZ E250CM                      17|4/6|35/100|1|0|2|0|2/1day|4200|.75|sr2.???|
4-* Pedicab (bicycle)              17|3/7|10/30|1|0|10|0|2/1day|1200|.75|cb1.21|
2-Boats
3-Skiffs
4-* Aztech Nightrunner (E)         24|3|45/5|3/0|5(5)/3|-/0|14/250|2|45625|3/72hrs|1|Electric|r3.160
4-* Aztech Nightrunner(M)          24|3|75/8|3/0|4(4)/3|-/0|14/250|2|30000|2/48hrs|1|Methane|r3.160|
4-* Blohm & Voss Gondola III       17|3|20/50|3|0|3|2|3/1day|32000|1|sr2.???|
4-* Sendako Marlin                 24|3|30/3|3/0|6(6)/0|-/0|12/150|2+1b|18750|2/24hrs|1||sr3.309, r3.160|
4-* Surfstar Marine Seacop         24|3|90/7|3/1|3(3)/2|-/0|10/45|1+2b|170000|15/15days|2|Elctronics Port w/Radio(Rating 4 1.2CF), External Fixed Firmpoint(1 CF Ammo Bin), Spotlight|r3.160|
3-Speedboats
4-* Colorado Craft Cigarette Hydro 24|4(5)|75(105)/10(15)|3/0|3(1)/2|-/0|8/240|2|35000|2/48hrs|1|Hydrofoil Capability|r3.161|
